id,landmark_id,label
6cf3c829e395b13c,177409,425
b71ab8ead1ec9e1f,86441,204
abbdcdd60260590b,168098,402
bb6b4542b94a1980,109169,258
64fcc7ca3ca02ce7,85633,201
5b9a055d7d9f9d96,143710,344
3b77b03c27be6739,86918,207
220632205176137e,151054,361
4b3340ce251a125b,102850,242
d50b2ea6eb1b8740,4226,9
7edd496a7702e64e,199450,480
cab49cc09f887e1d,80177,191
83336976df311d08,46705,115
cda9865d219a9192,86441,204
91940720324cc09d,81049,194
4d339412ae09b4b9,171683,409
65ee61613486eb13,70088,175
616612c68f2b048c,140841,340
62ef1b3e86f5fe92,137203,332
ab5c276aaa9d1662,201041,485
85c24379456ab47c,190879,457
499e8542c147df18,67406,167
9547a9e48ebd4de6,188999,448
2ed8706fdc349705,46705,115
bdb440295f11e185,46946,116
e4032464c9fe9f42,145768,350
71b556bd494b2b5e,138982,334
b3a7e99d841e3a3b,51272,127
1de56ca5d90d92ec,189907,450
051e5ae0f03980c0,177870,426
f9e4f1339d51c5e0,171683,409
f2879b35f49708e3,65068,159
517a475f7e852c39,73304,182
31df23d4c60b0b1d,91059,215
e84998ef8b345149,41648,100
1d18fd9775d2175f,20409,42
8a9c94f5a63e1ae8,113838,272
8a3d9b75054f0310,101399,237
d9f465330df60e62,33636,79
bb2ba9b02c0fc382,183170,440
b75c99ff63fd8c1b,162569,383
93178afe0ce41942,1924,4
ffb1c6a8f40e5d58,70644,176
c500a207d0d9e418,28139,62
25677b5d3bc86d8a,47133,118
1ee872f1f2bdaf9b,15138,28
9a6329285c1992bb,104605,246
c6bcf3945568fbe7,40088,93
991459f7ad194844,189907,450
e5028395dac8bdc1,69038,172
69a159d2d7343a69,183170,440
ad30a5ed1147c77f,86869,206
9da9acb84375202d,163604,390
e86416a17b842203,60349,149
13c5d4f7c042ba9c,70716,177
b12dce727b8577ce,31094,69
8ec7ef9cbf074d18,14915,27
7b312f7fd71c2762,44052,107
c61bb62c124a76e8,59831,147
f240b02dc6aa4a1e,60532,150
088c616217919089,41648,100
154403c1448017de,138982,334
c3fa7523248dc82d,86869,206
87fad21d70a23f4b,35628,81
92fbc970d21812fd,190822,455
82f6ab1d74dcb287,43222,105
b76c53a6f672312b,5004,10
ab766880ee7ea68e,129781,312
fa339797dd5885fc,138982,334
c7a18444cd8036a9,168879,404
ba8b9642adf14096,41808,102
87f6347781f9ca42,80147,190
5f01580aee0bed33,126637,304
41378446a65c0d12,31361,70
6210181fe44a0dec,192235,461
5e21eb823322e8df,19605,38
25b19dfb8148bdfe,139894,337
e826a43aa9d865d8,70088,175
53830ba2d0af0c05,182908,438
091855c87bed85d7,90021,212
df07905e71e73a2b,164406,393
6d3b0b96df2a51e2,177870,426
0dc15447904a6392,173511,412
f0856f76ef0887ef,190822,455
d409da1d1fb8c783,134235,324
baff4e3017142ca7,31361,70
a23edd63cf2dd5e5,57505,144
74b0aec06766a09c,107801,254
f1b35356e261baef,172929,411
9c19b645208680a4,120734,286
145221e0140fff52,194914,472
1ac297e604a31fa6,90396,213
7eacfed6e6d14403,41037,98
8e667d69c2d1bbba,183170,440
8a4b3bbf050da872,85633,201
56f1d8310549d7ca,90966,214
872b3797ace5bb72,139706,336
37d5a659ce19d92b,102850,242
9edf9704439b336d,189811,449
392e249cbe368d6a,5004,10
3589c5c1d314dfe9,16658,31
a8e90a38acffc83a,1924,4
55d5ab6db3b25b1b,134235,324
6ecaaf36d3991bc2,69038,172
025d3d7a708a7fee,37789,84
4cf8ed643935d15a,175431,419
63c759b24b98675c,198711,477
0fa96f246a29196f,140067,339
1e8f457ed82b7b49,174834,417
d98a6d8bd74210b2,144036,345
d09312eae8948e61,10419,21
db1a5f5a01e93576,160944,376
39af576fe80f2903,190144,451
19c2883f614c41a8,172929,411
a765a18e6654e1b4,101940,239
bdbea42f05252231,51699,128
476c5d6de7dd6e45,1924,4
5cd4408f3dc32343,73211,180
1a8779ac2576e5fb,115979,279
4bc3e2a88ac99986,85633,201
43b7e4db01302e91,83144,197
de4ba56d8b4ed62e,126100,303
96bb2fd19ab73717,38494,87
288ca415befbaa86,162403,382
2e244ef9a59157ca,28641,64
c827e40a81c1784e,57505,144
939fdf96dd3597df,5004,10
4c0a315e3f620d61,72024,178
be693f396477bdb0,190216,452
9325f6442de18c91,31837,74
06fbb9b030e16fb9,192931,464
5e071d0f834eaf80,194914,472
07bc423e360ccfb9,42016,103
205fc0a3175b118e,102904,243
669660351460f905,163604,390
9075ec5d9c361c00,1924,4
3f800e7148009e6d,113462,268
e866573a8ca82811,139245,335
be445acff850658b,61782,154
53fc8fb0f3ca2674,123309,294
259e9496a197105a,187779,446
c61d7a6c00e0c0c2,138982,334
6a96f6c1d16d4c81,177409,425
7f88f54fb057f6e8,64792,158
893d1730242b8afb,178829,427
a6cfc6087e721efc,23777,51
b2fec840d1dca3dc,39209,89
20fe6d9b67a9b864,31761,73
2d50da699150d873,192235,461
c87fb04c54ea3fbe,125831,302
357127ac46d4e28f,162569,383
64bd574836938a98,189811,449
825d3cd97a72ad20,163604,390
4e4e05c09dad7b6d,151942,362
6d5a7380522ab466,172929,411
0248aefc744254b1,107164,252
0c4484cba01bc738,70716,177
3ed29b79e1b37d4e,171435,407
1bdf7893ff0523a2,15138,28
fd93c5c5aff646ca,107323,253
df06be97536d79be,32338,76
0d91b75700fc6c98,78791,188
78ba49f5b78f93af,46705,115
6e1ec5bfe28d931a,79922,189
9fbdf7dfe5e5900a,20102,40
1fc51a541b54d277,17716,32
bc5a14c96aac26cf,21353,44
a43250c56e2440cc,182908,438
debacb942983b48b,28641,64
9e194da53449a39c,106852,251
72db9574fe67b243,16658,31
5814596ab508ae51,42016,103
70ede142485d7c6a,70716,177
adc759d21d62726c,145934,351
afe69ad71d01c37f,139980,338
d33a57d87b01334e,55219,133
af4419c0999f9512,177870,426
6b3dc133453a2cf0,67929,169
a6721c4b28a28e44,99943,233
3102ee390f6c2e79,51856,129
ab010aca3cbf78ea,70716,177
0d86adbc4dace85d,172056,410
8fb8eb6faebfed18,42123,104
defa92f021e83bb3,199450,480
7b2d13685c1e0d19,126637,304
bfc4d281855a2a90,145015,348
666657e461186868,27364,60
d4245b55e8a5ef7b,123309,294
5e9285fcc636b75f,140067,339
9556f6463a8ba9d1,113209,266
ae43643eaef7ffb2,20409,42
d21a453d05057b7f,162634,385
bc0b26f5208e69c7,99943,233
9c2368d54af125cb,80147,190
4aa618450a25e8d5,39865,91
1d7de17e4562f2bb,126637,304
56daae6ec203faed,126637,304
27c32147bc394261,68501,171
9915ab30211dd1f3,43222,105
e0d8b14b1f92eeae,40770,96
72a8b33281e6013b,181602,435
9f63cbd880f85856,139894,337
155a33f8e6bc74ba,3705,8
d0cccf925a003ac7,190956,458
b92cb4decf69d76c,113750,270
6ce885be3374ab01,86869,206
aafcd640b0e9dac3,168106,403
8d990c41254464d8,151054,361
84cbf10796719a42,18409,34
66acd41071485001,55350,134
ba74e59968efc6e6,138982,334
c1cbaffc66132b26,135601,329
7a08cc37058a97b0,47133,118
f48e6fbb1b998b06,202886,490
68c33435cab4bdd2,202814,489
2d84530a885cd086,182098,437
9a2a6103d1eecc9a,199735,483
2af2d53551eec1d7,167170,400
413497e10987d522,164406,393
68018aa3cb57a2ae,41648,100
8cc9eff388cea555,113209,266
e8f80e2364d1e4e8,27190,59
3a0e255ea6acb3e0,1346,3
3cf388977b683d5c,136302,331
4dcbb45574af1879,179626,430
8950aec8e5712688,6545,16
d3baf4810a4d808f,113209,266
823bb63822ff2be2,195382,473
b0db93d028267e88,65906,164
9d714ffb0760ded3,138982,334
b35da625495c4f93,136302,331
1585909e93772ed6,80249,192
76f5b967b8e274d3,133563,323
4e0494f141b82ae6,21603,45
a439112a392c2ba0,20409,42
af9a10d9edb1c694,98003,227
d47d07391a1d608b,164428,394
fb18b757b58f6f8f,140841,340
c56e678c1b9a409b,83144,197
979d1733a662454d,98003,227
eaee5b2a6726a1cc,108327,255
f5f4607a184522b7,41808,102
8b7063a5f9dbb979,101399,237
2c9493ca90f1c866,186957,445
38b95cb6fcfb5213,164191,392
1ff18e2d5df95adc,29794,66
a84c03153fb2dde1,51856,129
bafd1d413b4c013a,85633,201
0235dad90cf356e2,82386,195
92c9293926c77ae3,66807,165
3cea3c91053e46dc,194914,472
4af799ff9b3bd9a1,115836,278
7962689087e2a9a9,163227,389
815d52e7e0a43168,199507,482
390668b83bc74053,176528,422
d93f620cbcfc38d9,142147,341
5510cbae774681a4,142644,342
b846c8e3074b85cf,106852,251
1594bb406eb73ca8,20120,41
8c82c31490ffad6a,181602,435
29de4228f0b89527,189811,449
809ba568c82a8039,138982,334
24d4dc7db66be6a4,60532,150
40ee334a80dee5d7,113750,270
728f246711998092,65658,162
f50d39be2ca91543,31371,71
bf7a79e903c3fa57,80272,193
8420b42a16b3e34d,146497,353
f862d150599ff53c,183531,441
f18d676092581440,108327,255
0a5ebe0c62a7000b,126637,304
f3405d33b8d23f4e,31094,69
ea4731fd366e6fc9,69038,172
7cc31cbc38e8d293,95905,225
d036e875c1a657e3,57330,143
5313b224697b6cf2,123731,295
0e7fd2e275e281bd,67929,169
cb5c76b569344c88,182973,439
37d5fb2471b09b3b,161902,379
8ac30ffac2f5148c,86918,207
16a6bd6acc2b8afe,138982,334
c600f77adf7f4395,14915,27
5e9e4cd68d173432,147897,356
dfd0860ef211a556,70088,175
9e552d627bed74e7,91274,216
8a5fb0bfdd21a533,36748,83
dc5efd61740af73c,83144,197
4c91e865eecb0886,194406,469
841429b00f1e21d1,5170,11
eb821f55782fb969,40770,96
95a8e925d17e0cc9,1924,4
09fe610ae1e7e57c,76303,186
a93cf2542185ac02,22494,50
8a44e0a99e4905f3,199506,481
9fccdb6f9cba6c60,27,0
a22ac7af88ef5834,124928,298
eaf96b00c4299104,90396,213
668753da9faa4527,190869,456
f20a1caf2039598b,167988,401
60d1f92203848de1,176528,422
05c741f4344add32,28139,62
8f1b5493213e95fc,195382,473
c8001fd452740cbd,8330,17
f9ae2ee7331b1b42,47378,120
d4a78a24f1ec1386,189907,450
8dabdd94905ccd79,138982,334
bfdf85cfc531ce43,33992,80
47c041842c4e71ee,41648,100
bc0006069ba2efde,2586,5
38bf2b162c8c81f2,95905,225
1fd6912b4b16826b,37789,84
f65b54d82fa18aa4,41691,101
b96b3f1286f3c269,122246,291
